,var,importance
105,opera_Sky Airline,0.07552732546276385
96,opera_Grupo LATAM,0.07004489466606542
82,dia_nomi_Mi,0.053280584630803166
79,dia_nomi_Ju,0.052540620472157865
83,dia_nomi_Sa,0.052189168301650136
4,ori_pr,0.0503519164488797
5,orig_tas,0.04953336105777125
81,dia_nomi_Ma,0.049140256610718705
1,mes,0.04836152923314216
6,orig_vas,0.04638580012644539
7,orig_uas,0.04482310091584215
80,dia_nomi_Lu,0.039329382172657426
84,dia_nomi_Vi,0.030689826723385903
3,distancia,0.026819764459142612
0,dia,0.024871369837717518
108,periodo_dia_tarde,0.024046285840415696
9,dest_tas,0.021083898395077433
8,dest_pr,0.021032258268518268
11,dest_uas,0.01931246341808248
10,dest_vas,0.019304600471157424
16,tipo_vuelo,0.015826487629385266
107,periodo_dia_noche,0.015282661792210247
13,dif_aerolinea_prog_oper,0.014824765567689746
15,temporada_alta,0.013510863364931704
36,dest_oper_SABE,0.011300361438037193
98,opera_JetSmart SPA,0.010712152231519471
33,dest_oper_MPTO,0.008925090484875813
101,opera_Latin American Wings,0.0058841193307205
91,opera_Avianca,0.0054343221096773316
99,opera_K.L.M.,0.0049375594802639694
95,opera_Gol Trans,0.004114074039750665
89,opera_American Airlines,0.004079556264911915
102,opera_Oceanair Linhas Aereas,0.003912062910383221
78,dest_oper_YSSY,0.0031227799993187107
85,opera_Aeromexico,0.0031172965578260725
93,opera_Copa Air,0.002729676416638766
97,opera_Iberia,0.0025811174092518004
19,dest_oper_KATL,0.0025183214517612022
38,dest_oper_SAEZ,0.0019700217546854268
100,opera_Lacsa,0.0019178080560983723
86,opera_Air Canada,0.0018973409430241201
49,dest_oper_SBGR,0.0017564180129983123
104,opera_Qantas Airways,0.0017168004244860308
64,dest_oper_SCTE,0.0014797049854533356
12,dif_vuelo_prog_oper,0.0014364211315580527
73,dest_oper_SPJC,0.0013728659198453048
34,dest_oper_NZAA,0.0013467116696384053
63,dest_oper_SCSE,0.0012494203892910438
76,dest_oper_SUMU,0.0012278985983644477
55,dest_oper_SCDA,0.0012165417836107638
24,dest_oper_KLAX,0.0011689151476447673
22,dest_oper_KIAH,0.0011666912273486023
54,dest_oper_SCCI,0.0011276479505797174
37,dest_oper_SACO,0.0010577500259444541
48,dest_oper_SBGL,0.0010277365446677252
47,dest_oper_SBFL,0.000982525453423073
26,dest_oper_KMIA,0.0009689954455928843
61,dest_oper_SCPQ,0.0009479806572674961
90,opera_Austral,0.0009378281872142112
57,dest_oper_SCIE,0.0009266990350004873
39,dest_oper_SAME,0.0009237809978611201
69,dest_oper_SKBO,0.0008835311080198485
53,dest_oper_SCCF,0.0008660710124614672
56,dest_oper_SCFA,0.0008634494629927324
50,dest_oper_SCAR,0.0007851139307780904
88,opera_Alitalia,0.0007674222612197562
58,dest_oper_SCIP,0.0007467460841614463
27,dest_oper_LEMD,0.0007262081073962685
17,dest_oper_EGLL,0.0007232099980995583
68,dest_oper_SGAS,0.0007086117406571961
65,dest_oper_SCVD,0.0006876943832707277
32,dest_oper_MMUN,0.000664691049914216
87,opera_Air France,0.0006410304362123692
92,opera_British Airways,0.0006158761773031485
51,dest_oper_SCAT,0.0006039727803981465
62,dest_oper_SCQP,0.0005949855558973834
29,dest_oper_LIRF,0.0005626856945010893
23,dest_oper_KJFK,0.0005359596742243567
103,opera_Plus Ultra Lineas Aereas,0.0005204942269286014
52,dest_oper_SCBA,0.00048745401844159256
71,dest_oper_SLLP,0.00045939146033340054
66,dest_oper_SEGU,0.00045637703093072304
77,dest_oper_YMML,0.0004433117477421888
35,dest_oper_SAAR,0.00044229242047147556
60,dest_oper_SCNT,0.0004401138792794579
30,dest_oper_MDPC,0.0004199909052727504
72,dest_oper_SLVR,0.0003642864995373083
106,opera_United Airlines,0.0003543136253533542
94,opera_Delta Air,0.00035387767193864264
20,dest_oper_KDFW,0.00032437547824375705
41,dest_oper_SANU,0.00030649198643026884
43,dest_oper_SAZN,0.00028432186927186015
59,dest_oper_SCJO,0.0001945932140770417
40,dest_oper_SANT,0.00018198925527370974
25,dest_oper_KMCO,0.00017829891814315985
31,dest_oper_MMMX,0.00016977929708070054
42,dest_oper_SAWH,0.00013974817581055424
28,dest_oper_LFPG,9.483122949150788e-05
14,dif_dest_prog_oper,5.586611300931749e-05
75,dest_oper_SULS,2.514950389054458e-05
44,dest_oper_SAZS,1.9211682394050357e-05
18,dest_oper_EGYP,0.0
45,dest_oper_SBCT,0.0
2,año,0.0
67,dest_oper_SEQM,0.0
21,dest_oper_KIAD,0.0
74,dest_oper_SPSO,0.0
70,dest_oper_SLCB,0.0
46,dest_oper_SBFI,0.0
